time,CCSM4,CESM1-CAM5
2234,20359341931774.484,9302354695747.494
2235,20247971432842.867,9186557668833.652
2236,20083649294529.117,9074482457438.268
2237,19941589284892.754,8921226575186.479
2238,19812476939263.32,8762746659335.534
2239,19583680105182.73,8631770357081.605
2240,19443601163531.816,8464007600722.373
2241,19300434042547.22,8350680670592.944
2242,19045880771504.152,8224599262153.604
2243,18875132629054.83,8106906597114.586
2244,18744300278489.14,7980881038171.708
2245,18540908497836.473,7860445336909.664
2246,18393937152409.105,7760331220246.324
2247,18246414215911.168,7631681654269.63
2248,18086836476632.844,7504742897299.954
2249,17915678531723.633,7364318621999.969
2250,17738192476361.652,7244944538766.487
2251,17551388181502.34,7146667712576.043
2252,17405559512169.148,7034628930799.965
2253,17268346712260.865,6953687229562.675
2254,17150217097494.916,6874064580222.218
2255,17004981854604.883,6798310546049.644
2256,16850229716259.135,6656865412202.866
2257,16693712410424.098,6488931193199.815
2258,16593867116260.607,6391272557275.833
2259,16486573657090.709,6299016140322.183
2260,16338447234893.512,6201598868909.741
2261,16201463173868.908,6087302238099.454
2262,16047431465567.246,5991124060912.614
2263,15918551940793.574,5902898035821.328
2264,15823427309882.307,5774373967697.271
2265,15698769862020.611,5669842468377.007
2266,15565459511975.604,5564113493445.908
2267,15468221981791.877,5466628522390.975
2268,15339423043146.756,5390399526755.052
2269,15266051186938.533,5290647502854.499
2270,15131506395348.246,5167694831161.989
2271,15032954317168.424,5081232211560.134
2272,14898814511963.373,5016108208984.801
2273,14767554046854.748,4880235089169.426
2274,14657211221570.273,4791114687104.248
2275,14536819347467.533,4698259796221.813
2276,14432586780381.21,4614759539302.126
2277,14294884726766.05,4532802121731.144
2278,14159893858786.82,4426244905013.961
2279,14053504380275.867,4345967793223.609
2280,13931118853814.828,4274993418858.69
2281,13814012369370.934,4199896071579.9673
2282,13702657077139.232,4123114264829.9917
2283,13592216907435.97,4065028429194.02
2284,13482555010269.164,3994051735105.556
2285,13373115907805.61,3920282714678.1943
2286,13226959892096.484,3860227525452.7725
2287,13110739945534.646,3806759634113.194
2288,13022426633132.498,3746320171582.2915
2289,12888093964104.693,3679280331799.374
2290,12740759916242.469,3609700722715.542
2291,12625348104440.078,3542594070214.289
2292,12463399127784.422,3472862151660.122
2293,12356759518901.654,3412374915353.3384
2294,12271209614093.645,3359836581024.4116
2295,12169364808387.834,3310751618323.133
2296,12068471407461.018,3266216353026.684
2297,11906751855413.607,3225017815700.823
2298,11784039921328.625,3180980553166.3984
2299,11683124297252.834,3128795239255.15
2300,11575605847647.672,3087323038933.685
