time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2036.0,4205456400000.0,4295920200000.0,4239964500000.0,4192279000000.0,4270689400000.0,4089894100000.0,4277579300000.0,4218362300000.0,4332972700000.0,4260240800000.0,4398168000000.0,4164997600000.0,4103672200000.0,4101666000000.0
2037.0,4182798800000.0,4280295400000.0,4194430400000.0,4170250200000.0,4247849300000.0,4054176500000.0,4237329000000.0,4199882400000.0,4309780800000.0,4224301100000.0,4377229000000.0,4135534500000.0,4069546800000.0,4060506000000.0
2038.0,4155537600000.0,4255728000000.0,4163616600000.0,4145298000000.0,4216017000000.0,4046422300000.0,4193039400000.0,4155075200000.0,4300060800000.0,4211159600000.0,4333638000000.0,4121359800000.0,4034372600000.0,4019436000000.0
2039.0,4130186700000.0,4253735500000.0,4139155000000.0,4130217000000.0,4181845000000.0,3996281200000.0,4176289000000.0,4112977800000.0,4291767300000.0,4196421900000.0,4308421800000.0,4079151200000.0,3989214000000.0,4006803700000.0
2040.0,4118083500000.0,4231938000000.0,4121070700000.0,4092372000000.0,4157836000000.0,3963127000000.0,4185540800000.0,4098051300000.0,4291888000000.0,4167327000000.0,4286571300000.0,4054290300000.0,3936719200000.0,3963693300000.0
2041.0,4099216200000.0,4197161600000.0,4088117600000.0,4048070600000.0,4127663800000.0,3917875500000.0,4176270900000.0,4084149300000.0,4266190700000.0,4169260600000.0,4266674000000.0,4022540200000.0,3894927700000.0,3918549500000.0
2042.0,4067687100000.0,4185201300000.0,4045133300000.0,4022925300000.0,4096232000000.0,3894586600000.0,4155975100000.0,4064857000000.0,4255088400000.0,4148819700000.0,4257497500000.0,3969052800000.0,3874681800000.0,3893684600000.0
2043.0,4042844000000.0,4155638800000.0,4010481000000.0,3993665800000.0,4065674000000.0,3893446600000.0,4137224000000.0,4032844000000.0,4219230200000.0,4124729700000.0,4244197000000.0,3954768300000.0,3853787300000.0,3868742400000.0
2044.0,4017177000000.0,4135136500000.0,3979781900000.0,3959828000000.0,4047276600000.0,3878554400000.0,4105893300000.0,4015600000000.0,4184677300000.0,4099864000000.0,4214219000000.0,3912438400000.0,3820507400000.0,3837224800000.0
2045.0,3993093800000.0,4124763000000.0,3942637000000.0,3931283000000.0,4030484000000.0,3831755000000.0,4056846700000.0,3986220600000.0,4158594000000.0,4069741000000.0,4180636300000.0,3884716700000.0,3799926000000.0,3801195500000.0
2046.0,3946252300000.0,4109570100000.0,3912010300000.0,3892961300000.0,4014572800000.0,3797837200000.0,4035945400000.0,3965284500000.0,4128382000000.0,4058629000000.0,4152366000000.0,3874312700000.0,3762077800000.0,3781520800000.0
2047.0,3912234400000.0,4087671000000.0,3870401000000.0,3863648000000.0,3994144500000.0,3739753400000.0,4034096000000.0,3927314300000.0,4101318600000.0,4037066000000.0,4134685000000.0,3839424200000.0,3705507200000.0,3745052600000.0
2048.0,3889746400000.0,4056938700000.0,3844226400000.0,3839207000000.0,3943077000000.0,3702437700000.0,4010324000000.0,3899522800000.0,4063502800000.0,4023364600000.0,4104347200000.0,3797202500000.0,3664200300000.0,3725993700000.0
2049.0,3878163600000.0,4026364900000.0,3817425900000.0,3805234300000.0,3927682300000.0,3652643700000.0,3974128700000.0,3884152500000.0,4024805400000.0,3983557300000.0,4077574200000.0,3777866000000.0,3641779700000.0,3689039500000.0
2050.0,3850277200000.0,4014334300000.0,3778361700000.0,3775864000000.0,3905261000000.0,3596760400000.0,3944242700000.0,3864625700000.0,4004692400000.0,3949539600000.0,4048142200000.0,3749046000000.0,3614619200000.0,3641228700000.0
2051.0,3843023400000.0,4001186200000.0,3747395100000.0,3744335000000.0,3890408800000.0,3564081500000.0,3928217000000.0,3852424000000.0,3981383600000.0,3930687800000.0,4021502000000.0,3693460300000.0,3578630500000.0,3617402000000.0
2052.0,3834009400000.0,3974794300000.0,3702593000000.0,3722374800000.0,3867265000000.0,3534568600000.0,3910811300000.0,3825319800000.0,3942588400000.0,3918040400000.0,3984559400000.0,3658483800000.0,3553355600000.0,3579096300000.0
2053.0,3807977000000.0,3959635300000.0,3679626500000.0,3687699200000.0,3829357600000.0,3499205000000.0,3889786500000.0,3777584400000.0,3921802000000.0,3897713000000.0,3943395800000.0,3588683700000.0,3523281200000.0,3520847700000.0
2054.0,3757591000000.0,3947658200000.0,3642230600000.0,3649334100000.0,3813485800000.0,3474898300000.0,3859521200000.0,3743504700000.0,3916724700000.0,3867020000000.0,3937561500000.0,3527840600000.0,3503881200000.0,3483195100000.0
2055.0,3741831000000.0,3917947300000.0,3609262600000.0,3633363000000.0,3794604000000.0,3442082800000.0,3833498700000.0,3727361800000.0,3907657400000.0,3837974500000.0,3925425000000.0,3466839500000.0,3481781100000.0,3446170000000.0
2056.0,3729682000000.0,3898510000000.0,3583421700000.0,3604430200000.0,3779017300000.0,3397278500000.0,3818380900000.0,3714116000000.0,3892076600000.0,3815284400000.0,3894881800000.0,3425024300000.0,3458037700000.0,3410876400000.0
2057.0,3700227300000.0,3872966000000.0,3559665200000.0,3580793000000.0,3752907800000.0,3327866400000.0,3794010400000.0,3701014500000.0,3847340000000.0,3796192500000.0,3866069600000.0,3392766200000.0,3419022800000.0,3386986500000.0
2058.0,3667963200000.0,3853201000000.0,3554295200000.0,3547935000000.0,3722276000000.0,3292349600000.0,3743030700000.0,3675495300000.0,3812198000000.0,3771985800000.0,3831545700000.0,3359845400000.0,3377052000000.0,3336701200000.0
2059.0,3659141700000.0,3828933700000.0,3539434500000.0,3499981500000.0,3701784700000.0,3272177400000.0,3718519700000.0,3649119200000.0,3783382300000.0,3750557600000.0,3786871100000.0,3321337200000.0,3347574700000.0,3296036400000.0
2060.0,3626881500000.0,3811828000000.0,3505930400000.0,3480131500000.0,3670489400000.0,3229500300000.0,3695544600000.0,3622898200000.0,3756038800000.0,3726226200000.0,3759726700000.0,3298051800000.0,3313445000000.0,3257919000000.0
2061.0,3612095800000.0,3793102800000.0,3464258000000.0,3451607300000.0,3637120300000.0,3177726300000.0,3698222400000.0,3573142500000.0,3744494300000.0,3712567700000.0,3746432000000.0,3245638000000.0,3272720800000.0,3221147600000.0
2062.0,3588377300000.0,3758512700000.0,3417004600000.0,3422755700000.0,3613687500000.0,3130131700000.0,3683998200000.0,3534123000000.0,3731262800000.0,3696798700000.0,3732254800000.0,3202558200000.0,3250485000000.0,3203973000000.0
2063.0,3563903500000.0,3738381300000.0,3393517000000.0,3382466600000.0,3572749600000.0,3101301400000.0,3677680000000.0,3511095700000.0,3712571000000.0,3677958000000.0,3700626800000.0,3163169000000.0,3212384700000.0,3184237500000.0
2064.0,3557848500000.0,3729281500000.0,3369086700000.0,3335581600000.0,3548365700000.0,3061276000000.0,3665009800000.0,3484329400000.0,3692095000000.0,3653488600000.0,3652112000000.0,3139584100000.0,3185212400000.0,3156595700000.0
2065.0,3539005300000.0,3711323600000.0,3326260000000.0,3297505000000.0,3532878000000.0,3034326200000.0,3649605200000.0,3488203000000.0,3662748000000.0,3628095800000.0,3648426900000.0,3110349800000.0,3169771000000.0,3119205000000.0
2066.0,3521932000000.0,3681998600000.0,3302851600000.0,3274406000000.0,3495020200000.0,2999451600000.0,3610649600000.0,3484518400000.0,3623625000000.0,3621886000000.0,3615667000000.0,3067524000000.0,3154496000000.0,3100507600000.0
2067.0,3494991600000.0,3668853400000.0,3270201000000.0,3263229900000.0,3474734400000.0,2982483300000.0,3596936000000.0,3478348600000.0,3606322300000.0,3604320000000.0,3614284000000.0,3032647200000.0,3132296800000.0,3065918000000.0
