time,NORESM1-M,IPSL-CM5A-LR,CCSM4,GISS-E2-R,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CSIRO-MK3-6-0
2085.0,1582598200000.0,1199676200000.0,1567224400000.0,1664358200000.0,1519776700000.0,633037460000.0,1509410500000.0,1677678000000.0
2086.0,1576935900000.0,1167664200000.0,1557473100000.0,1636656300000.0,1502357100000.0,604949100000.0,1474978400000.0,1663352700000.0
2087.0,1545578900000.0,1143826500000.0,1536755800000.0,1622710600000.0,1487996600000.0,583539100000.0,1462525800000.0,1656913700000.0
2088.0,1516676200000.0,1122849500000.0,1516378000000.0,1601857900000.0,1471775200000.0,558503700000.0,1441463000000.0,1630761000000.0
2089.0,1500069600000.0,1101809700000.0,1507848200000.0,1576463500000.0,1452357800000.0,532611430000.0,1414647800000.0,1604796800000.0
2090.0,1482379800000.0,1074761430000.0,1484497500000.0,1560962000000.0,1442080000000.0,508431240000.0,1387834000000.0,1584210200000.0
2091.0,1455865300000.0,1053793600000.0,1463946600000.0,1528077500000.0,1417064600000.0,480441900000.0,1376832000000.0,1541795900000.0
2092.0,1442137900000.0,1029332660000.0,1441953500000.0,1503892100000.0,1405539600000.0,461683750000.0,1351400000000.0,1516985500000.0
2093.0,1421362300000.0,996134750000.0,1422335400000.0,1482726700000.0,1391497800000.0,433481840000.0,1316965600000.0,1487724200000.0
2094.0,1405380300000.0,965927200000.0,1400465900000.0,1483600700000.0,1354807000000.0,412895800000.0,1293403200000.0,1473858500000.0
2095.0,1379831500000.0,940847400000.0,1381288400000.0,1457771900000.0,1338760800000.0,394132620000.0,1276730400000.0,1449190400000.0
2096.0,1359730200000.0,910262800000.0,1364339700000.0,1439320800000.0,1339434700000.0,375490300000.0,1247069300000.0,1429836300000.0
2097.0,1335451700000.0,887677900000.0,1346737800000.0,1425983100000.0,1332205000000.0,354032580000.0,1209224100000.0,1410572700000.0
2098.0,1307309600000.0,869810770000.0,1322662600000.0,1403127300000.0,1319515700000.0,336807000000.0,1177618900000.0,1387884800000.0
2099.0,1285392400000.0,865567500000.0,1307529800000.0,1381580100000.0,1298959400000.0,318323720000.0,1159011000000.0,1373680300000.0
2100.0,1268324900000.0,834739240000.0,1289618200000.0,1363477500000.0,1292522100000.0,302795360000.0,1142835000000.0,1350407300000.0
