time,NORESM2-MM,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,FGOALS-F3-L,BCC-CSM2-MR,CESM2,EC-EARTH3,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM
2041.0,7336876300000.0,7289530500000.0,7394843000000.0,7362720600000.0,7349350000000.0,7358706600000.0,6962889000000.0,6939928400000.0,7477178000000.0,7228926000000.0,7168779600000.0,7440175700000.0,7237170000000.0
2042.0,7269666000000.0,7248459300000.0,7357993000000.0,7314718000000.0,7305193000000.0,7299716300000.0,6909621000000.0,6876797000000.0,7427920500000.0,7181875000000.0,7111608600000.0,7414107000000.0,7176695000000.0
2043.0,7223297700000.0,7213874000000.0,7305025000000.0,7264565000000.0,7269126000000.0,7255836000000.0,6846588000000.0,6816693000000.0,7384522000000.0,7125857000000.0,7070869400000.0,7376418600000.0,7113090000000.0
2044.0,7171690500000.0,7160043400000.0,7271537400000.0,7215023400000.0,7213779000000.0,7220215000000.0,6781564000000.0,6739539000000.0,7333426000000.0,7064307000000.0,7032091000000.0,7339590500000.0,7046448500000.0
2045.0,7126258300000.0,7130410600000.0,7239613500000.0,7153180000000.0,7169906000000.0,7192163000000.0,6718131000000.0,6675237000000.0,7303772000000.0,7021126000000.0,6976920600000.0,7310907300000.0,6995832700000.0
2046.0,7078758000000.0,7086453000000.0,7206172400000.0,7107128000000.0,7134229000000.0,7154188000000.0,6639664500000.0,6633199500000.0,7261718600000.0,6975530700000.0,6917886300000.0,7274163600000.0,6922940400000.0
2047.0,7037415000000.0,7041206000000.0,7158282000000.0,7043795600000.0,7097039700000.0,7095016500000.0,6563043000000.0,6553972000000.0,7218932000000.0,6913350000000.0,6833088500000.0,7227261000000.0,6867673000000.0
2048.0,6991796000000.0,6994535600000.0,7119532700000.0,7006979600000.0,7032827500000.0,7041361400000.0,6505409000000.0,6468194500000.0,7170584000000.0,6825506000000.0,6754280000000.0,7194273600000.0,6796620000000.0
2049.0,6936277300000.0,6949296000000.0,7080236300000.0,6963255600000.0,6996067600000.0,6979318700000.0,6421744700000.0,6376961600000.0,7128814700000.0,6755784000000.0,6687638400000.0,7153512000000.0,6727962500000.0
2050.0,6884565700000.0,6914509000000.0,7040049000000.0,6919161000000.0,6955681700000.0,6915201400000.0,6337137000000.0,6310918000000.0,7088910600000.0,6712859300000.0,6615010400000.0,7105402000000.0,6644356300000.0
2051.0,6834364600000.0,6874423000000.0,7001178400000.0,6866829000000.0,6911059600000.0,6842121000000.0,6265630600000.0,6224507000000.0,7048493000000.0,6650480600000.0,6543177700000.0,7087847000000.0,6566269400000.0
2052.0,6764706000000.0,6835518000000.0,6951188600000.0,6807985600000.0,6837220000000.0,6815110000000.0,6218453600000.0,6138664300000.0,7003852000000.0,6605903500000.0,6460149300000.0,7033805000000.0,6493222000000.0
2053.0,6693140300000.0,6765123000000.0,6908895000000.0,6753685000000.0,6781012000000.0,6752173600000.0,6154244000000.0,6050189000000.0,6975499300000.0,6540162000000.0,6385641700000.0,6990940600000.0,6431690000000.0
2054.0,6623787500000.0,6711496700000.0,6862861000000.0,6704175500000.0,6735482300000.0,6693628000000.0,6065216300000.0,5947097000000.0,6919570000000.0,6484586400000.0,6302023000000.0,6933289000000.0,6373706000000.0
2055.0,6559469000000.0,6674400000000.0,6812798600000.0,6662356700000.0,6680668500000.0,6632195500000.0,6000733600000.0,5851954000000.0,6869629000000.0,6417213300000.0,6224268000000.0,6887158000000.0,6313961600000.0
2056.0,6511540600000.0,6635037700000.0,6762222000000.0,6611730000000.0,6621155600000.0,6564289000000.0,5953525600000.0,5749190000000.0,6832354500000.0,6347228700000.0,6136473000000.0,6852529000000.0,6239445000000.0
2057.0,6467462600000.0,6581598000000.0,6710095000000.0,6569459000000.0,6581531400000.0,6524439600000.0,5887889000000.0,5654761700000.0,6776975000000.0,6271820400000.0,6050689000000.0,6804625000000.0,6160108000000.0
2058.0,6403260000000.0,6536748300000.0,6650068500000.0,6509737000000.0,6541878000000.0,6482965000000.0,5819379000000.0,5572361000000.0,6717858000000.0,6213267000000.0,5963140000000.0,6768879500000.0,6078079000000.0
2059.0,6357871000000.0,6485947000000.0,6590987500000.0,6461091500000.0,6499224500000.0,6422971500000.0,5744495700000.0,5482820000000.0,6664908400000.0,6151638400000.0,5886090700000.0,6723880400000.0,6025357300000.0
2060.0,6303542400000.0,6437368500000.0,6548530000000.0,6383771600000.0,6445573000000.0,6360258300000.0,5676898700000.0,5375584600000.0,6621200600000.0,6087478000000.0,5812546000000.0,6692192000000.0,5960894000000.0
2061.0,6238537500000.0,6383339000000.0,6490315000000.0,6314413500000.0,6386083000000.0,6317525700000.0,5601880400000.0,5289810000000.0,6576535500000.0,5997349000000.0,5730376600000.0,6637788600000.0,5896112000000.0
2062.0,6183996400000.0,6345110000000.0,6436581000000.0,6261910300000.0,6322161500000.0,6271694000000.0,5545337000000.0,5198236000000.0,6517460000000.0,5918085300000.0,5637212700000.0,6595588700000.0,5829304500000.0
2063.0,6124788500000.0,6312642500000.0,6379384000000.0,6205438000000.0,6255998400000.0,6203426000000.0,5465891000000.0,5081668000000.0,6451434600000.0,5841021000000.0,5551495300000.0,6551650000000.0,5757398400000.0
2064.0,6064973500000.0,6258357700000.0,6325063000000.0,6143673400000.0,6198486600000.0,6116963500000.0,5401747700000.0,5004947000000.0,6393077700000.0,5763066500000.0,5450144000000.0,6509424500000.0,5681869500000.0
2065.0,6001561400000.0,6198414300000.0,6278591500000.0,6091223600000.0,6137236700000.0,6054338400000.0,5340402000000.0,4921219000000.0,6352517000000.0,5680273600000.0,5351793000000.0,6484677000000.0,5621209000000.0
2066.0,5911708000000.0,6139596500000.0,6227578000000.0,6035610300000.0,6088673000000.0,5994662000000.0,5281534700000.0,4828732000000.0,6299653000000.0,5623511000000.0,5257479300000.0,6442924400000.0,5556482000000.0
2067.0,5846324000000.0,6081736600000.0,6166123400000.0,5978389500000.0,6023031000000.0,5932193000000.0,5205861600000.0,4737111000000.0,6226223000000.0,5551852000000.0,5176411000000.0,6390088700000.0,5491670000000.0
2068.0,5774573600000.0,6045740000000.0,6095802700000.0,5920730400000.0,5937904500000.0,5860554000000.0,5127164400000.0,4632469300000.0,6164374400000.0,5466889400000.0,5106057000000.0,6344298500000.0,5414976000000.0
2069.0,5704373000000.0,5997886000000.0,6035010000000.0,5871485600000.0,5852231000000.0,5794343000000.0,5054272600000.0,4530371000000.0,6093633000000.0,5384359000000.0,5015677700000.0,6308569000000.0,5352256400000.0
2070.0,5621634000000.0,5937843700000.0,5977227700000.0,5825437000000.0,5788369000000.0,5722868300000.0,4970098700000.0,4444541000000.0,6034865000000.0,5305375700000.0,4924819600000.0,6251829300000.0,5262094000000.0
2071.0,5533105400000.0,5879232500000.0,5917337700000.0,5767129700000.0,5726758000000.0,5652978000000.0,4895294000000.0,4344154200000.0,5975271500000.0,5225297500000.0,4818746000000.0,6228876000000.0,5178060700000.0
2072.0,5453058000000.0,5823981400000.0,5855669400000.0,5711573500000.0,5666641000000.0,5586873000000.0,4818807000000.0,4260637000000.0,5923387000000.0,5144107000000.0,4705608500000.0,6184122700000.0,5103408000000.0
2073.0,5362223700000.0,5758896000000.0,5785280600000.0,5647912000000.0,5595276000000.0,5518909000000.0,4738936000000.0,4155199500000.0,5862227700000.0,5065793000000.0,4608319000000.0,6147566700000.0,5028601000000.0
2074.0,5286812700000.0,5699461400000.0,5710050000000.0,5580201700000.0,5539697000000.0,5468952000000.0,4648698000000.0,4061304000000.0,5798706500000.0,4971023600000.0,4513488400000.0,6097865000000.0,4961937700000.0
2075.0,5198868000000.0,5644775000000.0,5642079700000.0,5534281000000.0,5448992300000.0,5385429000000.0,4575370000000.0,3970675500000.0,5731672700000.0,4892912500000.0,4412189000000.0,6033944600000.0,4867033000000.0
2076.0,5104712300000.0,5597091600000.0,5584730500000.0,5475692000000.0,5363200400000.0,5313664000000.0,4500605000000.0,3860147500000.0,5670866000000.0,4822446600000.0,4293415100000.0,5995852500000.0,4761533300000.0
2077.0,5022193000000.0,5551045000000.0,5515033000000.0,5417053000000.0,5294227700000.0,5242699600000.0,4417251000000.0,3755366700000.0,5605465000000.0,4740864300000.0,4181184700000.0,5954387600000.0,4675194000000.0
2078.0,4943826600000.0,5516714600000.0,5436162000000.0,5353532000000.0,5207443000000.0,5177096000000.0,4343027000000.0,3647172500000.0,5538854700000.0,4647261600000.0,4085922000000.0,5916735000000.0,4591155000000.0
2079.0,4850116000000.0,5455665400000.0,5373918400000.0,5293479600000.0,5133241000000.0,5109663700000.0,4251976700000.0,3536843400000.0,5495351000000.0,4562812400000.0,3981813500000.0,5882188000000.0,4510984000000.0
2080.0,4775897000000.0,5403898000000.0,5302556000000.0,5231535000000.0,5081360000000.0,5034759000000.0,4155580400000.0,3421381600000.0,5415551600000.0,4477574000000.0,3888548000000.0,5811970000000.0,4420908000000.0
2081.0,4703757300000.0,5359652600000.0,5235841400000.0,5185783500000.0,5017251600000.0,4975764000000.0,4073717500000.0,3308150800000.0,5353128300000.0,4407083700000.0,3777555900000.0,5767728500000.0,4333434600000.0
2082.0,4621596000000.0,5316100500000.0,5161047600000.0,5124266000000.0,4957779000000.0,4919140500000.0,3992427000000.0,3196877800000.0,5296045000000.0,4342692400000.0,3654460000000.0,5742066700000.0,4249196400000.0
2083.0,4532297300000.0,5272505000000.0,5091508600000.0,5062039000000.0,4896455700000.0,4855462000000.0,3906319700000.0,3096062500000.0,5239123500000.0,4273294800000.0,3550450800000.0,5714829400000.0,4162778800000.0
2084.0,4465216700000.0,5238023500000.0,5018399300000.0,5000628000000.0,4851300000000.0,4789273000000.0,3816418400000.0,2999842200000.0,5174098700000.0,4203561000000.0,3440331000000.0,5670019500000.0,4081751700000.0
2085.0,4380277300000.0,5195818300000.0,4954714500000.0,4951378500000.0,4788581300000.0,4734248300000.0,3730166300000.0,2903570600000.0,5103277000000.0,4109940600000.0,3338682800000.0,5626785000000.0,4006442000000.0
2086.0,4299643400000.0,5158661500000.0,4891793000000.0,4890074500000.0,4735991000000.0,4655351000000.0,3645913000000.0,2797293000000.0,5046751700000.0,4029213300000.0,3232838500000.0,5584669600000.0,3914761800000.0
2087.0,4215740300000.0,5121565000000.0,4817016000000.0,4829941000000.0,4679873300000.0,4600923400000.0,3561003700000.0,2699702300000.0,4974628600000.0,3939747800000.0,3137110000000.0,5558460000000.0,3813300000000.0
2088.0,4152024000000.0,5084361500000.0,4755260700000.0,4766247700000.0,4604883000000.0,4525093600000.0,3455248000000.0,2602576600000.0,4902461400000.0,3858444000000.0,3022032200000.0,5510616000000.0,3728752200000.0
2089.0,4073177700000.0,5044567500000.0,4689521000000.0,4703290000000.0,4545646700000.0,4442030600000.0,3379309000000.0,2510311000000.0,4842236400000.0,3783867200000.0,2908714000000.0,5474003000000.0,3628423700000.0
2090.0,3987723500000.0,4999602000000.0,4625093600000.0,4652354500000.0,4488036400000.0,4352325000000.0,3293945800000.0,2405502000000.0,4791557000000.0,3707889300000.0,2809609800000.0,5428832400000.0,3550646600000.0
2091.0,3902666700000.0,4969923000000.0,4565312700000.0,4594287000000.0,4427969700000.0,4289974000000.0,3216142800000.0,2308074600000.0,4726278000000.0,3646239300000.0,2710757000000.0,5387029000000.0,3471435600000.0
2092.0,3814580800000.0,4931871000000.0,4493851000000.0,4536709700000.0,4351948200000.0,4213633000000.0,3131695000000.0,2212224800000.0,4662781500000.0,3576214300000.0,2620290800000.0,5344772000000.0,3379429000000.0
2093.0,3744270400000.0,4876473500000.0,4428895600000.0,4473870600000.0,4288324800000.0,4149470000000.0,3052773000000.0,2125627800000.0,4597385000000.0,3483947200000.0,2527373600000.0,5292207600000.0,3290743700000.0
2094.0,3665005000000.0,4837087400000.0,4359289600000.0,4412090600000.0,4223596800000.0,4055345100000.0,2972898800000.0,2050159400000.0,4539443300000.0,3404706000000.0,2430423300000.0,5237260700000.0,3212708400000.0
2095.0,3581718300000.0,4802600000000.0,4290915900000.0,4360373000000.0,4153669300000.0,3948199300000.0,2895721500000.0,1985548100000.0,4467306500000.0,3329293300000.0,2328533000000.0,5188462600000.0,3134741300000.0
2096.0,3491663400000.0,4763384000000.0,4231336800000.0,4307220700000.0,4093827600000.0,3834054200000.0,2810578700000.0,1919816700000.0,4416795000000.0,3232147700000.0,2228420000000.0,5148145400000.0,3047950000000.0
2097.0,3384354000000.0,4722965000000.0,4169243800000.0,4254983800000.0,4032291700000.0,3771786300000.0,2737642400000.0,1834276200000.0,4351711500000.0,3152464000000.0,2133849700000.0,5083831000000.0,2961210000000.0
2098.0,3303616800000.0,4667821500000.0,4107353000000.0,4187406000000.0,3972857900000.0,3681317800000.0,2640060000000.0,1761774500000.0,4288799600000.0,3076184900000.0,2039084700000.0,5024223600000.0,2870233000000.0
2099.0,3218311700000.0,4618233300000.0,4045406200000.0,4138201300000.0,3911789000000.0,3612441000000.0,2558554800000.0,1682897500000.0,4227784500000.0,3004731500000.0,1951516500000.0,4972612000000.0,2789612500000.0
2100.0,3135559200000.0,4566558400000.0,3980647500000.0,4077386200000.0,3855289700000.0,3531890000000.0,2466019300000.0,1610844600000.0,4154243000000.0,2932673300000.0,1872676400000.0,4903216300000.0,2724116000000.0
