time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2254,3837416683031.2734,489811995210.50183,20006437293041.586
2255,3739362369292.8916,484050670964.82007,19798782679911.93
2256,3658054725792.139,477389717881.3176,19619852174838.543
2257,3586255514640.721,471937453630.95667,19428366672920.523
2258,3524864956188.324,466778790215.41266,19230637049163.55
2259,3445905290193.3906,463097272062.1157,19047775811888.45
2260,3382320647753.0815,458760512619.2091,18865497781817.227
2261,3324408414973.298,454619600675.2301,18702822489565.133
2262,3266863742569.9785,450123157531.77356,18554487570510.04
2263,3195997374141.214,445323418969.353,18380113613139.99
2264,3143554766601.859,442457813002.70386,18233861408864.723
2265,3058061324561.405,438625339325.348,18066876481862.742
2266,3004831987443.6094,434766715095.09576,17903906906914.406
2267,2931438226123.8594,431692550554.2059,17746143233080.418
2268,2872992927051.3726,429058573083.86316,17580950482662.354
2269,2830482045005.3384,425550728000.31226,17424639489966.629
2270,2785212796883.454,422002382515.2224,17278418878282.957
2271,2721842789576.35,417956897469.826,17122037220289.686
2272,2660673259552.7754,414983844559.521,16963770945068.754
2273,2611983068432.8247,412425349851.4851,16832828472509.193
2274,2562293676173.7964,409927865772.93677,16684601678849.547
2275,2478483168113.7446,406706184262.0728,16555549030534.262
2276,2425045916385.2285,404301623236.85913,16416454830882.867
2277,2380646615901.5977,402238520234.4264,16295398853139.75
2278,2340459642152.6006,399713383009.5311,16165021261522.299
2279,2291089147421.3984,397183816075.1827,16037036501601.723
2280,2254263986829.364,394437646900.31696,15919337018401.26
2281,2218839928321.634,392293903552.3342,15781181467149.322
2282,2170629608554.2317,390807363838.51965,15682257054973.412
2283,2128370299521.2842,388814845841.80664,15576589742304.81
2284,2086470959039.1167,386762020729.3918,15468768353279.959
2285,2047810275570.58,384916325979.7354,15354672397378.678
2286,1999902705466.6455,382675991745.7334,15252864263808.457
2287,1962240868250.02,380130651759.9641,15146863550049.793
2288,1930521288430.1584,377477911114.8329,15044829168690.258
2289,1897630216349.295,375503335054.85596,14944946346536.312
2290,1865281094287.9385,374208950786.0691,14848824615204.145
2291,1830966539439.8823,372294661546.19275,14746385676159.982
2292,1794077526654.1343,371052660984.4226,14646448694277.252
2293,1766055038205.0662,369913597416.5082,14536297184272.234
2294,1743951683216.3853,368435290428.2164,14430087676665.854
2295,1722185764072.4053,367378990316.9753,14339275845609.686
2296,1692452545862.0044,365474289188.67395,14235820403579.594
2297,1653786796214.897,364193532115.61414,14129830964730.066
2298,1620987696533.5015,362561624007.8026,14030575348533.225
2299,1598451776960.374,361713081543.1777,13944796501807.328
2300,1578565441184.105,361019512039.70135,13859385127402.643
