time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,CESM1-CAM5,IPSL-CM5A-LR
2090.0,2897804000000.0,2956409700000.0,2788885800000.0,3410557000000.0,3007258300000.0,2882276700000.0,2869267000000.0,3083660400000.0
2091.0,2876602800000.0,2923673200000.0,2757614000000.0,3392206800000.0,2977850200000.0,2867043800000.0,2829816700000.0,3053732800000.0
2092.0,2843061500000.0,2881430200000.0,2738046600000.0,3377353700000.0,2952053000000.0,2842158200000.0,2801903600000.0,3014660000000.0
2093.0,2809098400000.0,2876253700000.0,2721761000000.0,3351595500000.0,2936970100000.0,2832646000000.0,2773911000000.0,2998486400000.0
2094.0,2790690400000.0,2849649700000.0,2707708200000.0,3336280000000.0,2915072000000.0,2816435300000.0,2747703800000.0,2993159000000.0
2095.0,2762580000000.0,2812448000000.0,2700649700000.0,3330078700000.0,2898240700000.0,2786335000000.0,2719284700000.0,2970026500000.0
2096.0,2748828600000.0,2785925700000.0,2674705600000.0,3306886800000.0,2899676800000.0,2776093700000.0,2704574800000.0,2947589600000.0
2097.0,2724446300000.0,2767158500000.0,2654073500000.0,3263245000000.0,2876050000000.0,2747860000000.0,2681934400000.0,2919737300000.0
2098.0,2701813400000.0,2744422800000.0,2633748700000.0,3235188300000.0,2852714700000.0,2737042000000.0,2645329400000.0,2908263500000.0
2099.0,2678953300000.0,2725928200000.0,2611473000000.0,3227121600000.0,2845421600000.0,2724627500000.0,2613857500000.0,2899099500000.0
2100.0,2668229600000.0,2686215800000.0,2585629600000.0,3189572600000.0,2826117800000.0,2714820400000.0,2572901700000.0,2890558900000.0
