time,GISS-E2-R,CANESM2,CESM1-CAM5,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2066.0,3471443500000.0,3149817400000.0,3459236200000.0,3246096400000.0,3293077800000.0,3588500800000.0,3884887300000.0,3511639600000.0,3431411500000.0,3564998500000.0,3510235000000.0
2067.0,3457074600000.0,3121211800000.0,3429919400000.0,3236615200000.0,3254796400000.0,3573788700000.0,3892965000000.0,3501732400000.0,3401686200000.0,3546087700000.0,3509021000000.0
2068.0,3439506800000.0,3098924800000.0,3385465000000.0,3201956000000.0,3227687800000.0,3558242800000.0,3869320700000.0,3494912500000.0,3379623400000.0,3538313800000.0,3502502000000.0
2069.0,3404045500000.0,3076175000000.0,3341256200000.0,3172982000000.0,3202625000000.0,3547299600000.0,3839102300000.0,3478610800000.0,3339820200000.0,3510935000000.0,3486701000000.0
2070.0,3402550700000.0,3048514300000.0,3301630300000.0,3161219700000.0,3172923900000.0,3522868300000.0,3825706700000.0,3457074900000.0,3313287600000.0,3458404700000.0,3476754000000.0
2071.0,3385825000000.0,3024860200000.0,3257725600000.0,3149194000000.0,3133404600000.0,3508928200000.0,3811094600000.0,3418758800000.0,3285600700000.0,3433382000000.0,3444166600000.0
2072.0,3365340000000.0,3013660400000.0,3242206000000.0,3122052000000.0,3106735700000.0,3488516700000.0,3791707000000.0,3395612300000.0,3257429700000.0,3425874500000.0,3418667400000.0
2073.0,3351983700000.0,3000669600000.0,3220081000000.0,3097944700000.0,3079436500000.0,3472621000000.0,3772690000000.0,3386414000000.0,3237332600000.0,3404492200000.0,3413783300000.0
2074.0,3335994000000.0,2979977500000.0,3190863400000.0,3063448000000.0,3064458400000.0,3471219400000.0,3745111300000.0,3374609000000.0,3209172600000.0,3393779100000.0,3406751600000.0
2075.0,3323561500000.0,2966965700000.0,3167707200000.0,3038181000000.0,3044282200000.0,3466387800000.0,3704966000000.0,3337332500000.0,3177087800000.0,3372754100000.0,3384238400000.0
2076.0,3318861000000.0,2948597000000.0,3151780000000.0,3011932000000.0,3032895500000.0,3442178500000.0,3689397000000.0,3319820700000.0,3141639000000.0,3348809000000.0,3363284000000.0
2077.0,3301297400000.0,2923970200000.0,3130004600000.0,2982385300000.0,3017460400000.0,3426797700000.0,3680567300000.0,3299673000000.0,3112116700000.0,3340155000000.0,3353476000000.0
2078.0,3291053800000.0,2904657800000.0,3103394400000.0,2956407300000.0,2998130000000.0,3407457000000.0,3667278200000.0,3273249500000.0,3103001400000.0,3338193300000.0,3339088000000.0
2079.0,3278269600000.0,2880901500000.0,3071914300000.0,2934618500000.0,2980846800000.0,3388420000000.0,3644095500000.0,3259797000000.0,3088356200000.0,3330045400000.0,3314597800000.0
2080.0,3270003700000.0,2850970000000.0,3061576400000.0,2917384600000.0,2967744800000.0,3379024400000.0,3622195400000.0,3244636800000.0,3082134000000.0,3303245600000.0,3289462000000.0
2081.0,3237612000000.0,2834371000000.0,3049183000000.0,2891167800000.0,2940505700000.0,3368824000000.0,3606757000000.0,3232888500000.0,3069909400000.0,3285183600000.0,3265649200000.0
2082.0,3216165600000.0,2799930200000.0,3028481200000.0,2874343700000.0,2926213300000.0,3345745000000.0,3594793800000.0,3205396000000.0,3056591200000.0,3263774000000.0,3239237000000.0
2083.0,3200754400000.0,2785204200000.0,2989338400000.0,2841220700000.0,2883622500000.0,3321314100000.0,3589809600000.0,3193517000000.0,3039240000000.0,3253409200000.0,3193987700000.0
2084.0,3190963800000.0,2782459900000.0,2956220700000.0,2807398000000.0,2854419400000.0,3304851200000.0,3574636200000.0,3176493200000.0,3039594000000.0,3229678000000.0,3173993400000.0
2085.0,3189209300000.0,2770783700000.0,2937208700000.0,2788640700000.0,2837953000000.0,3275504700000.0,3535135300000.0,3173057000000.0,3027336700000.0,3224612000000.0,3166368000000.0
2086.0,3183574000000.0,2743512900000.0,2913577500000.0,2754624400000.0,2831421300000.0,3248743800000.0,3538703000000.0,3165053300000.0,3000652000000.0,3229440000000.0,3158199500000.0
2087.0,3176085800000.0,2706517800000.0,2892993000000.0,2728315600000.0,2836961200000.0,3241470000000.0,3528923500000.0,3146675700000.0,2969975700000.0,3214488000000.0,3127787400000.0
2088.0,3155804600000.0,2682462400000.0,2870020400000.0,2716446200000.0,2812199800000.0,3233000000000.0,3507294800000.0,3112309000000.0,2952750400000.0,3194675500000.0,3107970000000.0
2089.0,3145781200000.0,2652200200000.0,2851216300000.0,2682962600000.0,2785873500000.0,3228402700000.0,3493193000000.0,3090557000000.0,2916574800000.0,3172790700000.0,3094837500000.0
2090.0,3142253800000.0,2629081200000.0,2823948000000.0,2657706000000.0,2760631600000.0,3204853500000.0,3467046000000.0,3072843300000.0,2899390200000.0,3142536400000.0,3089455000000.0
2091.0,3126784400000.0,2619892300000.0,2794442700000.0,2644995500000.0,2730546200000.0,3182789700000.0,3454208300000.0,3061144600000.0,2881736100000.0,3133073500000.0,3070658000000.0
2092.0,3109326200000.0,2598422200000.0,2777321300000.0,2617468500000.0,2712607400000.0,3162007700000.0,3438097500000.0,3061793000000.0,2860406000000.0,3127646400000.0,3053585200000.0
2093.0,3094308200000.0,2578884900000.0,2765870600000.0,2593902000000.0,2688988000000.0,3151835700000.0,3437051200000.0,3034455500000.0,2845210000000.0,3109706000000.0,3052645000000.0
2094.0,3080689800000.0,2574418000000.0,2752256000000.0,2575203000000.0,2670578400000.0,3141751300000.0,3435050800000.0,3007476000000.0,2839908500000.0,3086984200000.0,3027848700000.0
2095.0,3084229500000.0,2555379000000.0,2740572000000.0,2544087600000.0,2648853400000.0,3124413600000.0,3410546400000.0,2990921000000.0,2829105200000.0,3070030500000.0,3017658600000.0
2096.0,3071584200000.0,2531436300000.0,2726821000000.0,2512744300000.0,2646789300000.0,3134112100000.0,3413100000000.0,2979471300000.0,2808446500000.0,3044231000000.0,3016713000000.0
2097.0,3051903300000.0,2514382700000.0,2714465500000.0,2470275400000.0,2628223800000.0,3128194800000.0,3415248000000.0,2959956500000.0,2779550800000.0,3047100300000.0,3009304900000.0
2098.0,3034039200000.0,2489944000000.0,2682359600000.0,2438729000000.0,2594221600000.0,3119163000000.0,3410348700000.0,2947657000000.0,2771673200000.0,3042247400000.0,3006089400000.0
2099.0,3019649300000.0,2467171700000.0,2666552000000.0,2405664800000.0,2577377000000.0,3080515000000.0,3423071000000.0,2946976200000.0,2755908900000.0,3032049000000.0,2995117000000.0
2100.0,2994916600000.0,2444474000000.0,2652911200000.0,2374934500000.0,2552413300000.0,3069711200000.0,3416255400000.0,2933603200000.0,2743928400000.0,3023073000000.0,2972529500000.0
