time,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,ACCESS-ESM1-5,CANESM5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2032.0,7030404000000.0,7169782000000.0,7032197000000.0,7087647000000.0,6513342500000.0,6620575700000.0,6967813700000.0,6899189700000.0,6954157600000.0,7035862000000.0,7084584000000.0,7003899400000.0,6967763400000.0,7128182400000.0,6933609000000.0,7108107400000.0,6548557400000.0
2033.0,6994552000000.0,7152287600000.0,7015837000000.0,7076656000000.0,6429183300000.0,6583479000000.0,6928820300000.0,6862923600000.0,6934595000000.0,6999527400000.0,7053173000000.0,6967874600000.0,6933819000000.0,7100286600000.0,6899205400000.0,7101984000000.0,6489365000000.0
2034.0,6973361000000.0,7140733400000.0,6998813000000.0,7079288400000.0,6328901000000.0,6546492000000.0,6874838600000.0,6833608600000.0,6880528000000.0,6993055600000.0,7036837300000.0,6926279600000.0,6917988500000.0,7083575500000.0,6880698000000.0,7093890000000.0,6420067000000.0
2035.0,6947940600000.0,7117145000000.0,6969353000000.0,7065015700000.0,6225896000000.0,6504539000000.0,6820357000000.0,6782213000000.0,6853665000000.0,6990898700000.0,7018381000000.0,6892275400000.0,6891246700000.0,7088862000000.0,6854336000000.0,7100247300000.0,6363015500000.0
2036.0,6925280000000.0,7100704500000.0,6947119600000.0,7045025000000.0,6144306000000.0,6475559000000.0,6766084000000.0,6740773400000.0,6826725000000.0,6968167600000.0,7001278000000.0,6875629000000.0,6847952600000.0,7072462700000.0,6811918300000.0,7080282400000.0,6287549500000.0
2037.0,6902570300000.0,7086620000000.0,6936384000000.0,7050604600000.0,6043773400000.0,6453888300000.0,6731515600000.0,6682656600000.0,6799995000000.0,6954016000000.0,6984807000000.0,6844859000000.0,6790243000000.0,7070504000000.0,6771570000000.0,7058335000000.0,6224136000000.0
2038.0,6860615000000.0,7054012400000.0,6925725500000.0,7046663000000.0,5952574600000.0,6417012000000.0,6694370000000.0,6634730000000.0,6773216400000.0,6943653000000.0,6959128400000.0,6821503300000.0,6745930300000.0,7060124600000.0,6736466000000.0,7035161700000.0,6163477300000.0
2039.0,6824181400000.0,7045050000000.0,6893020400000.0,7038639300000.0,5845108700000.0,6397583000000.0,6620880000000.0,6593964000000.0,6749556000000.0,6932490400000.0,6917318000000.0,6808599500000.0,6692727000000.0,7048804000000.0,6699495700000.0,7022813000000.0,6093940000000.0
2040.0,6786859000000.0,7001637700000.0,6884120600000.0,7039244000000.0,5751513000000.0,6380780500000.0,6552749600000.0,6559923400000.0,6730364000000.0,6907025700000.0,6865446000000.0,6754106600000.0,6648614600000.0,7030829000000.0,6689698000000.0,7015361000000.0,6012982500000.0
2041.0,6756946000000.0,6961181000000.0,6872904000000.0,7028279000000.0,5632452000000.0,6353321000000.0,6507207300000.0,6514866000000.0,6682685500000.0,6901754000000.0,6849187000000.0,6736215300000.0,6590651400000.0,7028056000000.0,6663930000000.0,6994391000000.0,5944186000000.0
2042.0,6719848000000.0,6942815000000.0,6861018400000.0,7018756700000.0,5498430600000.0,6320600600000.0,6475289700000.0,6450591600000.0,6643083400000.0,6888575500000.0,6840637000000.0,6696568600000.0,6528109600000.0,7013847000000.0,6634474600000.0,6978966000000.0,5889959000000.0
2043.0,6696121000000.0,6904139000000.0,6843723700000.0,6992743000000.0,5376313400000.0,6283929300000.0,6444027500000.0,6411657400000.0,6598738000000.0,6864544700000.0,6831400300000.0,6660385400000.0,6457963600000.0,7006593000000.0,6621465400000.0,6964109000000.0,5839832000000.0
2044.0,6656677000000.0,6870839000000.0,6821134000000.0,6967756600000.0,5244140400000.0,6267380000000.0,6386196400000.0,6366828700000.0,6568202500000.0,6800765600000.0,6813466500000.0,6652042000000.0,6406693000000.0,6997307600000.0,6597402700000.0,6933387400000.0,5768391000000.0
2045.0,6624778400000.0,6835239000000.0,6801920600000.0,6957353000000.0,5108772000000.0,6255679000000.0,6337881700000.0,6333094400000.0,6531800600000.0,6775251000000.0,6792341000000.0,6638689300000.0,6347129600000.0,6984490300000.0,6571680000000.0,6916240000000.0,5703838700000.0
2046.0,6613081500000.0,6811705000000.0,6780512400000.0,6922208500000.0,4989815600000.0,6224489000000.0,6273807400000.0,6284645500000.0,6488217600000.0,6757779000000.0,6777297400000.0,6616409000000.0,6275141000000.0,6972322600000.0,6545083500000.0,6882248400000.0,5628743000000.0
2047.0,6582849000000.0,6771692000000.0,6755921000000.0,6893498000000.0,4884197300000.0,6200819000000.0,6198847000000.0,6233844000000.0,6433413300000.0,6729039000000.0,6748560700000.0,6579527000000.0,6227346000000.0,6955966400000.0,6520096400000.0,6863739000000.0,5543602000000.0
2048.0,6558334300000.0,6725858500000.0,6742970000000.0,6862244000000.0,4752275400000.0,6156182400000.0,6120515000000.0,6202692500000.0,6412838600000.0,6673825000000.0,6716475300000.0,6542842700000.0,6153508500000.0,6953802000000.0,6494258000000.0,6842763700000.0,5477428000000.0
2049.0,6541115000000.0,6686870000000.0,6730988000000.0,6827324000000.0,4652235500000.0,6118422000000.0,6043015000000.0,6153237000000.0,6360927000000.0,6660183000000.0,6674815000000.0,6525571000000.0,6058400500000.0,6941356000000.0,6473446300000.0,6822038600000.0,5420863700000.0
2050.0,6513299600000.0,6657026300000.0,6717249000000.0,6820980000000.0,4536897400000.0,6083086000000.0,5971145000000.0,6132844700000.0,6320918000000.0,6665414000000.0,6649290000000.0,6488136400000.0,5968426400000.0,6911122000000.0,6441750000000.0,6797389700000.0,5372526000000.0
2051.0,6481354000000.0,6640865000000.0,6693809000000.0,6807517000000.0,4409664700000.0,6062562000000.0,5931669700000.0,6085665000000.0,6290094000000.0,6639650000000.0,6636964000000.0,6460512700000.0,5914925500000.0,6903078300000.0,6420401000000.0,6762284400000.0,5326114400000.0
2052.0,6485255000000.0,6623279000000.0,6677844700000.0,6771639300000.0,4281721200000.0,6035292600000.0,5841574000000.0,6040252000000.0,6259180000000.0,6612963000000.0,6630171000000.0,6433083500000.0,5873299600000.0,6885042000000.0,6407210000000.0,6726062000000.0,5282723300000.0
2053.0,6462096000000.0,6614958000000.0,6643910000000.0,6735308000000.0,4156265300000.0,6014134000000.0,5759643000000.0,5982924600000.0,6219296700000.0,6585408000000.0,6611219000000.0,6420403000000.0,5831697000000.0,6862572000000.0,6379360000000.0,6704497000000.0,5215473000000.0
2054.0,6443861300000.0,6593964000000.0,6622689000000.0,6703851500000.0,4032677500000.0,5971636000000.0,5689497000000.0,5930666700000.0,6171220500000.0,6563754000000.0,6576908300000.0,6392334000000.0,5774592000000.0,6833732000000.0,6361509000000.0,6689036700000.0,5145608300000.0
2055.0,6417805000000.0,6568994700000.0,6610958000000.0,6658340000000.0,3915292300000.0,5942877400000.0,5641315000000.0,5906714000000.0,6140242000000.0,6538335400000.0,6554631300000.0,6360778000000.0,5733681700000.0,6801415700000.0,6325950000000.0,6681564000000.0,5104720700000.0
2056.0,6401693000000.0,6529421400000.0,6571175000000.0,6632568000000.0,3811463100000.0,5910292000000.0,5568616000000.0,5891168000000.0,6090358000000.0,6508709000000.0,6539014000000.0,6345272600000.0,5685616600000.0,6776504700000.0,6313758000000.0,6655043000000.0,5054326000000.0
2057.0,6392971300000.0,6487633000000.0,6551675000000.0,6610612000000.0,3703684000000.0,5868654000000.0,5477801000000.0,5836432700000.0,6052376000000.0,6491819500000.0,6506513700000.0,6328320000000.0,5635272000000.0,6733272400000.0,6296863000000.0,6620160500000.0,5006285600000.0
2058.0,6371729700000.0,6468429400000.0,6539694300000.0,6590666000000.0,3593208900000.0,5811794000000.0,5397494000000.0,5771429400000.0,5995021000000.0,6470060500000.0,6461670300000.0,6311731000000.0,5584934400000.0,6695879000000.0,6281031000000.0,6595933000000.0,4970990000000.0
2059.0,6335264000000.0,6439312600000.0,6507072000000.0,6564143000000.0,3489697400000.0,5745767000000.0,5304715600000.0,5721418000000.0,5941124700000.0,6444401000000.0,6421285000000.0,6268651600000.0,5538452600000.0,6675797400000.0,6252456000000.0,6592081700000.0,4932180600000.0
2060.0,6329058000000.0,6401751000000.0,6498889500000.0,6533904000000.0,3388273900000.0,5661155000000.0,5220142000000.0,5682909000000.0,5899937000000.0,6380784700000.0,6403254000000.0,6248835600000.0,5510090000000.0,6654372300000.0,6223966000000.0,6581661000000.0,4897378400000.0
2061.0,6296141000000.0,6375092000000.0,6490038000000.0,6506694600000.0,3286635000000.0,5593966300000.0,5145713000000.0,5656220000000.0,5863746000000.0,6353189300000.0,6392121400000.0,6242718000000.0,5462714000000.0,6635977000000.0,6195099000000.0,6529780000000.0,4855547600000.0
2062.0,6264163700000.0,6335914600000.0,6470423000000.0,6482846300000.0,3188217000000.0,5542317000000.0,5074082300000.0,5620684600000.0,5818060600000.0,6326666700000.0,6360916000000.0,6216291000000.0,5416749600000.0,6625245000000.0,6174760500000.0,6494142600000.0,4806583000000.0
2063.0,6243802000000.0,6313168300000.0,6459818000000.0,6464836000000.0,3081187600000.0,5458457000000.0,5004197400000.0,5566655000000.0,5759461500000.0,6295808000000.0,6324470400000.0,6192004300000.0,5357881000000.0,6587884000000.0,6162059000000.0,6448144000000.0,4739447000000.0
2064.0,6227887700000.0,6291967700000.0,6437458000000.0,6441516700000.0,2989471300000.0,5372650000000.0,4913523000000.0,5533485500000.0,5682185000000.0,6279248500000.0,6305390500000.0,6164989300000.0,5300095500000.0,6535094700000.0,6135515400000.0,6388315000000.0,4681035000000.0
2065.0,6212073000000.0,6269137600000.0,6401326300000.0,6411954000000.0,2915821000000.0,5304998700000.0,4835247000000.0,5499513000000.0,5622553000000.0,6229463700000.0,6268832400000.0,6159833000000.0,5249565000000.0,6497134000000.0,6102340000000.0,6342352000000.0,4638066600000.0
