time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2066.0,5970498400000.0,6293977300000.0,4185029300000.0,6293503300000.0,5173743700000.0,5940884500000.0,5530510700000.0,6206183000000.0,4804225500000.0,5531246300000.0,5880407000000.0,6235349000000.0,6304644500000.0,4236737500000.0
2067.0,5919094600000.0,6265960000000.0,4077529900000.0,6260570000000.0,5088253000000.0,5897280600000.0,5497470600000.0,6148701000000.0,4721280000000.0,5458938600000.0,5843515000000.0,6202188600000.0,6267623400000.0,4144014300000.0
2068.0,5874116000000.0,6234381000000.0,3993756000000.0,6217707600000.0,5004473700000.0,5863229000000.0,5461490300000.0,6083981000000.0,4627183400000.0,5406745700000.0,5803006000000.0,6156581300000.0,6209719000000.0,4043303300000.0
2069.0,5817280000000.0,6202776000000.0,3901460600000.0,6198019000000.0,4909048000000.0,5824363000000.0,5423494000000.0,6060537500000.0,4547617000000.0,5344982500000.0,5778043000000.0,6130684000000.0,6188790000000.0,3933836000000.0
2070.0,5758753700000.0,6175258600000.0,3818897500000.0,6161789000000.0,4811939000000.0,5764401000000.0,5369492000000.0,6017791300000.0,4420322500000.0,5313563000000.0,5761932000000.0,6088067000000.0,6171357300000.0,3838128400000.0
2071.0,5707185000000.0,6141196000000.0,3741343500000.0,6128678000000.0,4748605400000.0,5709910000000.0,5345067400000.0,5977682000000.0,4308067000000.0,5280087700000.0,5738197400000.0,6041982500000.0,6153655300000.0,3750380200000.0
2072.0,5635600000000.0,6083090300000.0,3649631400000.0,6079443400000.0,4641496500000.0,5659730400000.0,5316555000000.0,5876144400000.0,4232292900000.0,5233222000000.0,5709881000000.0,6004467000000.0,6121490000000.0,3648689800000.0
2073.0,5581702000000.0,6011655600000.0,3568687400000.0,6021361700000.0,4536623000000.0,5611284600000.0,5292548000000.0,5837444600000.0,4147345000000.0,5170036500000.0,5686232600000.0,5933332000000.0,6096588000000.0,3553901400000.0
2074.0,5528615000000.0,5969641700000.0,3487257600000.0,5987869000000.0,4432918000000.0,5576607000000.0,5260637600000.0,5808863000000.0,4068433700000.0,5117617000000.0,5641057300000.0,5881732000000.0,6078056600000.0,3435450000000.0
2075.0,5462127300000.0,5940271600000.0,3405650600000.0,5944562400000.0,4334947700000.0,5537633700000.0,5225874700000.0,5760428000000.0,3977387700000.0,5048175000000.0,5600859700000.0,5849141000000.0,6048391400000.0,3333745300000.0
2076.0,5398370000000.0,5920042500000.0,3321078000000.0,5892785300000.0,4234675700000.0,5493725000000.0,5197525400000.0,5720421000000.0,3861521000000.0,5011437000000.0,5565333400000.0,5802600400000.0,5996286600000.0,3243341300000.0
2077.0,5350404000000.0,5896475000000.0,3240568000000.0,5860967300000.0,4135042400000.0,5456309000000.0,5174453600000.0,5675562300000.0,3784056200000.0,4969876000000.0,5539248500000.0,5769253000000.0,5942862000000.0,3147692000000.0
2078.0,5308677600000.0,5862491000000.0,3146040200000.0,5824872000000.0,4034089200000.0,5411837000000.0,5130560700000.0,5641456000000.0,3690343000000.0,4926541400000.0,5502906000000.0,5704349000000.0,5921815000000.0,3041616500000.0
2079.0,5242252400000.0,5831613500000.0,3061264200000.0,5781507300000.0,3928253000000.0,5363185000000.0,5092457000000.0,5569127600000.0,3614817600000.0,4833558400000.0,5471448600000.0,5663944600000.0,5892503000000.0,2942003800000.0
2080.0,5180618000000.0,5780551500000.0,2967634000000.0,5747293300000.0,3813778700000.0,5316715500000.0,5066261500000.0,5537391400000.0,3529744300000.0,4788011000000.0,5432620000000.0,5563929000000.0,5836481500000.0,2842666000000.0
2081.0,5115719700000.0,5729677000000.0,2880560200000.0,5722177000000.0,3728734200000.0,5268282300000.0,5028572600000.0,5498029500000.0,3462940600000.0,4727428300000.0,5394513500000.0,5500231500000.0,5809319000000.0,2734209000000.0
2082.0,5081570000000.0,5694601000000.0,2782024000000.0,5683384700000.0,3626837700000.0,5228132000000.0,4986594000000.0,5464572600000.0,3407308000000.0,4673884000000.0,5377715000000.0,5437760500000.0,5795682000000.0,2630744800000.0
2083.0,5042165000000.0,5644474600000.0,2704894300000.0,5654119400000.0,3529526000000.0,5199027000000.0,4953131000000.0,5424703000000.0,3324422400000.0,4630962000000.0,5355819000000.0,5388640500000.0,5783585000000.0,2529272800000.0
