time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2177.0,1432820900000.0,2506426700000.0,1149905300000.0
2178.0,1417080200000.0,2507647500000.0,1153093300000.0
2179.0,1423018600000.0,2518869600000.0,1155251700000.0
2180.0,1418507800000.0,2539592000000.0,1162161600000.0
2181.0,1415701900000.0,2547187700000.0,1150150600000.0
2182.0,1415860200000.0,2557279000000.0,1156795100000.0
2183.0,1419975900000.0,2527988300000.0,1154104000000.0
2184.0,1423188200000.0,2535160000000.0,1154736600000.0
2185.0,1425078000000.0,2537115000000.0,1157207800000.0
2186.0,1407881400000.0,2534276600000.0,1156747200000.0
2187.0,1397525000000.0,2520390600000.0,1158841500000.0
2188.0,1397875900000.0,2506283800000.0,1156872100000.0
2189.0,1399279000000.0,2502872000000.0,1162584700000.0
2190.0,1396113800000.0,2492672200000.0,1162806300000.0
2191.0,1396549400000.0,2502414600000.0,1171738200000.0
2192.0,1402957600000.0,2507648500000.0,1159349300000.0
2193.0,1396733500000.0,2507751300000.0,1166664700000.0
2194.0,1395453000000.0,2518487400000.0,1156870000000.0
2195.0,1386811600000.0,2525129900000.0,1152274800000.0
2196.0,1381335300000.0,2536344400000.0,1152092100000.0
2197.0,1386553100000.0,2527552900000.0,1152716800000.0
2198.0,1400544700000.0,2534021500000.0,1157860700000.0
2199.0,1402782100000.0,2540523500000.0,1163494200000.0
2200.0,1412354500000.0,2545587800000.0,1156492700000.0
2201.0,1410713300000.0,2553889000000.0,1146395800000.0
2202.0,1409275700000.0,2578035500000.0,1144864000000.0
2203.0,1400299000000.0,2579853000000.0,1150724300000.0
2204.0,1398757100000.0,2575132500000.0,1154142400000.0
2205.0,1402483600000.0,2599933700000.0,1154499000000.0
2206.0,1413674700000.0,2589402600000.0,1148917900000.0
2207.0,1419539300000.0,2586170400000.0,1153989700000.0
2208.0,1425816700000.0,2630670000000.0,1158757600000.0
2209.0,1433817700000.0,2610678200000.0,1167681100000.0
2210.0,1447344500000.0,2619596600000.0,1174352300000.0
2211.0,1450782800000.0,2622731600000.0,1170958800000.0
2212.0,1449692600000.0,2636739500000.0,1165787800000.0
2213.0,1446406400000.0,2624325400000.0,1168882100000.0
2214.0,1450878400000.0,2626542000000.0,1169084600000.0
2215.0,1448705000000.0,2619709300000.0,1168775800000.0
2216.0,1451083300000.0,2640511800000.0,1177442000000.0
2217.0,1449128900000.0,2654215600000.0,1176308500000.0
2218.0,1460448000000.0,2677025000000.0,1169430400000.0
2219.0,1465665300000.0,2722960000000.0,1164398300000.0
2220.0,1478068100000.0,2729169000000.0,1164820500000.0
2221.0,1487275200000.0,2721863200000.0,1171685900000.0
2222.0,1489184800000.0,2733253600000.0,1167651900000.0
2223.0,1491643700000.0,2768099600000.0,1166517200000.0
2224.0,1488495200000.0,2780850000000.0,1170543300000.0
2225.0,1487736700000.0,2769942000000.0,1170138600000.0
2226.0,1487590900000.0,2779055400000.0,1174141100000.0
2227.0,1500264300000.0,2810419600000.0,1174527400000.0
2228.0,1502997900000.0,2822691600000.0,1178137900000.0
2229.0,1520811100000.0,2829357400000.0,1174450300000.0
2230.0,1526825600000.0,2821258700000.0,1171887200000.0
2231.0,1507945900000.0,2822306500000.0,1173159500000.0
2232.0,1505827400000.0,2834532700000.0,1174252800000.0
2233.0,1522709000000.0,2845856200000.0,1167670900000.0
2234.0,1528676600000.0,2842314000000.0,1163317000000.0
2235.0,1527301500000.0,2855804600000.0,1170204100000.0
2236.0,1534246900000.0,2860979600000.0,1171094800000.0
2237.0,1541968500000.0,2862326200000.0,1166691700000.0
2238.0,1552018000000.0,2861868300000.0,1171318200000.0
2239.0,1561900700000.0,2904397000000.0,1165696600000.0
