time,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,CESM2-WACCM
2261.0,295776320000.0,392929700000.0,403744500000.0,183396610000.0
2262.0,289987400000.0,387757670000.0,410870000000.0,181005830000.0
2263.0,288909000000.0,397001260000.0,408169680000.0,176345580000.0
2264.0,283211830000.0,394329720000.0,405149320000.0,175600800000.0
2265.0,280871600000.0,393604330000.0,399587180000.0,173736230000.0
2266.0,277967830000.0,397755840000.0,401539070000.0,173206800000.0
2267.0,276884780000.0,418713300000.0,402261100000.0,174927720000.0
2268.0,273292850000.0,411576240000.0,403204050000.0,172930330000.0
2269.0,275301140000.0,408336860000.0,400648670000.0,172686110000.0
2270.0,276772230000.0,409825570000.0,403678360000.0,174939030000.0
2271.0,276959850000.0,420372680000.0,408933340000.0,173165350000.0
2272.0,272873680000.0,413398530000.0,410223540000.0,170672670000.0
2273.0,279080400000.0,415652300000.0,407053570000.0,167531350000.0
2274.0,277523960000.0,412854220000.0,405597500000.0,165181650000.0
2275.0,277085850000.0,406356430000.0,408072880000.0,165427530000.0
2276.0,275316900000.0,399709960000.0,405948530000.0,165659670000.0
2277.0,277603680000.0,389881040000.0,411547930000.0,165453710000.0
2278.0,276501100000.0,379248900000.0,409182570000.0,168971140000.0
2279.0,277373030000.0,370982940000.0,402623330000.0,169078150000.0
2280.0,281254500000.0,371580340000.0,399379820000.0,170042790000.0
2281.0,285978820000.0,379156460000.0,397755120000.0,170673550000.0
2282.0,284583500000.0,389420740000.0,395094800000.0,172942770000.0
2283.0,289975200000.0,389722930000.0,388068300000.0,172612040000.0
2284.0,291110400000.0,423078660000.0,392156800000.0,173391170000.0
2285.0,289014800000.0,429468100000.0,390956740000.0,175706030000.0
2286.0,288745720000.0,444380050000.0,384064400000.0,176644900000.0
2287.0,290688200000.0,429921400000.0,380201300000.0,176601430000.0
2288.0,288792700000.0,426295800000.0,379430340000.0,176021000000.0
2289.0,289612530000.0,425997240000.0,385667900000.0,172783520000.0
2290.0,292345400000.0,439049650000.0,387250230000.0,173819560000.0
2291.0,286141480000.0,444656160000.0,385553370000.0,171432900000.0
2292.0,288220350000.0,438954200000.0,378250200000.0,168779760000.0
2293.0,292452530000.0,426206820000.0,372883820000.0,168185770000.0
2294.0,297540800000.0,418399620000.0,372880380000.0,169894660000.0
2295.0,297378000000.0,413169320000.0,367487940000.0,169669500000.0
2296.0,304683450000.0,415535370000.0,361019930000.0,169256830000.0
2297.0,305201480000.0,414830600000.0,354944350000.0,169214870000.0
2298.0,307273920000.0,418336180000.0,351654250000.0,171831840000.0
2299.0,304939930000.0,415992900000.0,351121740000.0,172120980000.0
2300.0,311142420000.0,418382050000.0,342417400000.0,170986060000.0
